% Late:,% Atraso:
% Present:,% Presença:
0 grouped row(s),0 registro(s) agrupado(s)
ACCOUNT,CONTA
ATTENDANCE CODE,CÓDIGO DE PRESENÇA
ATTENDANCE LEDGER (GROUPED VIEW),LIVRO DE CHAMADAS (VISÃO AGRUPADA)
ATTENDANCE MODE,MODALIDADE DE CHAMADA
Absent,Falta
Academic Load,Carga Horária Acadêmica
Academic Load Policy,Política de Carga Horária Acadêmica
Academic Performance,Desempenho Acadêmico
Academic Term,Período Letivo
Academic Year,Ano Letivo
Academic Years,Anos Letivos
Academics,Acadêmico
Account,Conta
Accounts Settings,Configurações de Accounts
Active,Ativo
Activities,Atividades Extracurriculares
Activity Booking,Reserva de Atividade
Activity Booking Settings,Configurações de Reserva de Atividade
Add student log,Registrar Ocorrência do Aluno
Admin,Administração Escolar
Administração,Administração
Admission,Admissões
Admission & Engagement,Admissões e Captação
Admission Settings,Configurações de Admissões
Admissions Cockpit,Painel de Admissões
Admissions Hub,Central de Admissões
Admissions Inbox,Caixa de Entrada de Inscrições
Admissions Portal,Portal de Admissões
Admissões e Alunos,Admissões e Alunos
Admissões e Matrículas,Admissões e Matrículas
Admitted,Admitido
All,Todos
All Courses,Todas as Disciplinas
Announcement,Comunicados
Announcement Archive,Arquivo de Comunicados
Apoio e Bem-Estar,Apoio e Bem-Estar
Application Date,Data da Inscrição
Application Status,Status da Candidatura
Apply Default,Preencher com Padrão (Presente)
Archive,Arquivo
Assign work to a class in seconds,Passe tarefas para a turma em segundos
Attachment,Anexo
Attachments,Anexos
Attendance,Frequência Escolar
Attendance Analytics,Análise de Frequência
Attendance Code,Código de Presença
Attendance Ledger,Livro de Chamadas
Attendance Ledger (Grouped View),Livro de Chamadas (Visão Agrupada)
Attendance Mode,Modalidade de Chamada
"Availability, development, and evaluations.","Disponibilidade, capacitação e avaliações."
Avoid sensitive medical details; use the health note workflow instead.,Evite detalhes médicos confidenciais; use o prontuário da enfermaria.
Blood Group,Tipo Sanguíneo
Book and manage activities for all children.,Reserve e gerencie atividades para todos os filhos.
By Block,Por Horário / Aula
Calendar Sync,Sincronizar Calendário
"Capture evidence, notes, and marks","Lance notas, critérios e evidências"
Central Educacional,Central Educacional
Choose one of your teaching groups and open t...,Escolha uma de suas turmas para abrir...
Choose one of your teaching groups and open the class hub.,Escolha uma de suas turmas e abra o painel da sala de aula.
Class Session,Aula / Sessão de Aula
Class Teaching Plan,Plano de Ensino de Aula
Classroom,Sala de Aula
Clear Custom Range,Limpar Intervalo
Close,Fechar
Code,Código
Collapse,Recolher
Communications,Comunicados e Mensagens
Compliance & Risk,Conformidade e Riscos
Confirm each child's program choices before the deadline.,Confirme as escolhas curriculares de cada filho antes do prazo.
Corpo Docente e Gestão,Corpo Docente e Gestão
Counseling,Orientação Educacional
Counseling Session,Sessão de Orientação / Psicologia
Course,Curso / Disciplina
Course Plan,Plano da Disciplina
Course Plans,Planos de Ensino
Course Selection,Seleção de Disciplinas
Course list and year filter,Lista de disciplinas e filtro por ano letivo
Courses,Disciplinas
"Coverage, punctuality, and daily health of the timetable.","Cobertura, pontualidade e assiduidade diária."
Create a meeting or school event,Agendar reunião ou evento escolar
Create communication,Novo Comunicado
Create event,Criar Evento
Create task,Criar Tarefa / Atividade
Created By,Criado Por
Current Course,Disciplina Atual
Current Holiday List,Lista de Current Holiday
Curriculum,Currículo e Ensino
Currículo e Aulas,Currículo e Aulas
